season,week,half_life,home_team,away_team,rating_diff,home_field,rest_diff,actual_margin,actual_home_win
2014,6,20,MIN,DET,-0.1116155832265238,1.0,3,-14.0,False
2014,6,20,NYJ,DEN,-0.1246997494448418,1.0,0,-14.0,False
2014,6,20,TB,BAL,-0.2641354949587914,1.0,0,-31.0,False
2014,6,20,TEN,JAX,0.1172942604898287,1.0,0,2.0,True
2014,6,20,ARI,WAS,0.0116368080048099,1.0,1,10.0,True
2014,6,20,ATL,CHI,-0.068069239425541,1.0,0,-14.0,False
2014,6,20,SEA,DAL,0.2104576856446668,1.0,-1,-7.0,False
2014,6,20,PHI,NYG,-0.2082510843460476,1.0,0,27.0,True
2014,6,50,HOU,IND,0.0677908749039621,1.0,0,-5.0,False
2014,6,50,BUF,NE,-0.0575918023499789,1.0,0,-15.0,False
2014,6,50,CIN,CAR,0.0572936527502323,1.0,0,0.0,False
2014,6,50,CLE,PIT,0.0360309860880476,1.0,0,21.0,True
2014,6,50,MIA,GB,-0.130940889796207,1.0,4,-3.0,False
2014,6,50,MIN,DET,-0.1118626731868033,1.0,3,-14.0,False
2014,6,50,NYJ,DEN,-0.1225721041190318,1.0,0,-14.0,False
2014,6,50,TB,BAL,-0.2705708477974171,1.0,0,-31.0,False
2014,6,50,TEN,JAX,0.1094398454816898,1.0,0,2.0,True
2014,6,50,ARI,WAS,0.0138393621107611,1.0,1,10.0,True
2014,6,50,ATL,CHI,-0.0635169403005014,1.0,0,-14.0,False
2014,6,50,SEA,DAL,0.2190897611546146,1.0,-1,-7.0,False
2014,6,50,PHI,NYG,-0.2011017010157344,1.0,0,27.0,True
2014,6,100,HOU,IND,0.0736494108897593,1.0,0,-5.0,False
2014,6,100,BUF,NE,-0.0587997188168586,1.0,0,-15.0,False
2014,6,100,CIN,CAR,0.0562785724142582,1.0,0,0.0,False
2014,6,100,CLE,PIT,0.0384062208375384,1.0,0,21.0,True
2014,6,100,MIA,GB,-0.1281829235824808,1.0,4,-3.0,False
2014,6,100,MIN,DET,-0.1119652367512367,1.0,3,-14.0,False
2014,6,100,NYJ,DEN,-0.1219043505796336,1.0,0,-14.0,False
2014,6,100,TB,BAL,-0.2726936764748714,1.0,0,-31.0,False
2014,6,100,TEN,JAX,0.1068202318210862,1.0,0,2.0,True
2014,6,100,ARI,WAS,0.0145864195918901,1.0,1,10.0,True
2014,6,100,ATL,CHI,-0.0620230274269024,1.0,0,-14.0,False
2014,6,100,SEA,DAL,0.2220129293182905,1.0,-1,-7.0,False
2014,6,100,PHI,NYG,-0.1987264544268624,1.0,0,27.0,True
2014,7,2,NE,NYJ,0.2919684139883176,1.0,0,2.0,True
