game_id,season,week,game_date,home_team,away_team,home_score,away_score
401282688,2021,11,2021-11-14T00:30:00.000Z,Virginia,Notre Dame,3,28
401282689,2021,11,2021-11-13T20:30:00.000Z,Virginia Tech,Duke,48,17
401282690,2021,11,2021-11-14T00:30:00.000Z,Wake Forest,NC State,45,42
401282691,2021,12,2021-11-19T00:30:00.000Z,Duke,Louisville,22,62
401282692,2021,12,2021-11-20T17:00:00.000Z,Boston College,Florida State,23,26
401282693,2021,12,2021-11-20T17:00:00.000Z,Clemson,Wake Forest,48,27
401282694,2021,12,2021-11-21T00:30:00.000Z,Miami,Virginia Tech,38,26
401282695,2021,12,2021-11-20T21:00:00.000Z,NC State,Syracuse,41,17
401282697,2021,12,2021-11-20T19:30:00.000Z,Notre Dame,Georgia Tech,55,0
401282698,2021,12,2021-11-20T20:30:00.000Z,Pittsburgh,Virginia,48,38
401282699,2021,13,2021-11-27T00:00:00.000Z,NC State,North Carolina,34,30
401282700,2021,13,2021-11-27T17:00:00.000Z,Boston College,Wake Forest,10,41
401282701,2021,13,2021-11-27T17:30:00.000Z,Duke,Miami,10,47
401282702,2021,13,2021-11-28T00:30:00.000Z,Syracuse,Pittsburgh,14,31
401282703,2021,13,2021-11-27T20:45:00.000Z,Virginia,Virginia Tech,24,29
401282705,2021,2,2021-09-11T18:30:00.000Z,Notre Dame,Toledo,32,29
401282706,2021,3,2021-09-18T18:30:00.000Z,Notre Dame,Purdue,27,13
401282707,2021,4,2021-09-25T16:00:00.000Z,Wisconsin,Notre Dame,13,41
401282708,2021,5,2021-10-02T18:30:00.000Z,Notre Dame,Cincinnati,13,24
401282709,2021,8,2021-10-23T23:30:00.000Z,Notre Dame,USC,31,16
401282710,2021,10,2021-11-06T19:30:00.000Z,Notre Dame,Navy,34,6
401282711,2021,13,2021-11-28T01:00:00.000Z,Stanford,Notre Dame,14,45
401282714,2021,1,2021-08-28T17:20:00.000Z,Illinois,Nebraska,30,22
401282715,2021,3,2021-09-18T01:00:00.000Z,Illinois,Maryland,17,17
401282716,2021,4,2021-09-25T19:30:00.000Z,Purdue,Illinois,13,9
401282717,2021,8,2021-10-23T16:00:00.000Z,Penn State,Illinois,16,16
401282718,2021,6,2021-10-09T19:30:00.000Z,Illinois,Wisconsin,0,24
401282719,2021,9,2021-10-30T16:00:00.000Z,Illinois,Rutgers,14,20
401282720,2021,10,2021-11-06T16:00:00.000Z,Minnesota,Illinois,6,14
401282721,2021,12,2021-11-20T19:00:00.000Z,Iowa,Illinois,33,23
401282722,2021,13,2021-11-27T20:30:00.000Z,Illinois,Northwestern,47,14
401282723,2021,1,2021-09-04T19:30:00.000Z,Iowa,Indiana,34,6
401282725,2021,3,2021-09-18T16:00:00.000Z,Indiana,Cincinnati,24,38
401282726,2021,9,2021-10-30T16:00:00.000Z,Maryland,Indiana,38,34
401282727,2021,10,2021-11-06T23:30:00.000Z,Michigan,Indiana,29,7
